C_eff,Model,R2,RMSE,MAE,n
3.0,SISSO,-32.02099281774391,535.9692810328283,421.9526516299287,25
3.0,SISSO_Robust,-6.032400332641187,247.34129395038994,235.07125868426948,25
3.0,M3,-6.9568752831830585,263.09713024877243,248.5261844690591,25
4.0,SISSO,-67.61824200574964,579.4632429045233,396.96648339353544,25
4.0,SISSO_Robust,-5.776498536038963,182.09950839527727,161.66775158615437,25
4.0,M3,-3.6905811141309384,151.5023691417071,129.71332287114566,25
5.13,SISSO,-128.3588718268616,620.3643531653238,408.6195783783638,25
5.13,SISSO_Robust,-9.641992406030166,177.93451442284206,137.102605725799,25
5.13,M3,-2.1574766897364133,96.92120425905745,80.75200444522504,25
6.0,SISSO,-189.95505183300253,644.4369240664436,422.8887206562574,25
6.0,SISSO_Robust,-15.621576159715282,190.13012854033119,136.77327396968468,25
6.0,M3,-2.537047958961683,87.70721362677875,75.22043395195175,25
7.0,SISSO,-276.69461247224956,666.1189323701543,440.1754282982818,25
7.0,SISSO_Robust,-25.72255557999381,206.63650361368585,144.47675438549064,25
7.0,M3,-4.649808972844542,95.01341595120714,79.31713513904612,25
