alloy,n_points,source,k_HP_exp,sigma0_exp,k_HP_SISSO,sigma0_SISSO,k_HP_SISSO_robust,sigma0_SISSO_robust,k_HP_M3,sigma0_M3
Co1 Cr1 Fe1 Ni1,4,Citrine,235.85389655894434,157.88853098458435,811.7767431557112,78.82070456157882,797.1076794008359,16.66930634978442,765.7572307708773,15.760960386553165
Co1 Fe1 Ni1,4,Citrine,242.68775120218802,191.97384495921577,1024.3482010285468,27.8349017967968,1005.8379034685719,-60.47404439382805,765.7572307708775,47.05864184348164
Co1 Cr1 Fe1 Mn1 Ni1,15,Citrine,492.51147029358924,206.83179883557065,699.2264273326609,140.4493283945775,686.5911835564432,81.51063845416459,765.7572307708773,74.98807512533367
Al0.304 Co1 Cr1 Fe1 Ni1,3,Citrine,790.1637648171409,114.2850482738305,729.0271704752217,142.25880623990844,715.8534177988824,95.52804172912705,765.7572307708771,16.64572259709493
Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,5,Citrine,714.9350607195819,130.7400909779361,699.3488031910684,119.85567035497124,686.7113480441946,110.70402627057908,765.7572307708775,71.83217875473997
Co0.25 Cr0.25 Fe1 Mn1,3,Citrine,757.6012356388782,379.68554985537605,942.8695025837446,151.0597053439368,925.8315510009468,37.36006872639351,765.7572307708773,68.86877707418816
CrFeNi,6,Schneider2021,867.3290329142089,90.88871920715036,1024.3482010285466,102.35211385139169,1005.8379034685718,28.14021936079027,765.7572307708778,6.885630119694127
CoCrFeMnNi,8,Otto2013,308.16680780578673,194.39956936802963,699.226427332661,140.44932839457752,686.5911835564432,81.5106384541647,765.7572307708773,74.98807512533372
CoCrNi,5,Huang2019,475.43840849876534,246.02331472760014,1024.3482010285463,110.70569204740016,1005.8379034685714,65.58368267505429,765.7572307708772,64.61071658064074
CoCrFeNi,5,Huang2019,278.1005588884428,219.29054007257366,811.7767431557115,78.82070456157871,797.1076794008361,16.669306349784364,765.7572307708776,15.760960386553108
CoNiMn,5,Huang2019,242.44639450379586,240.92588098120737,1024.3482010285481,1379.3927300559374,1005.8379034685712,464.4064446723881,765.7572307708778,194.6202559355368
CoFeNiMn,5,Huang2019,199.07151725806537,214.82530479352803,811.776743155711,666.1740998453677,797.107679400836,108.83019253957895,765.7572307708773,113.2681149027252
