label,R2,RMSE,MAE,bias,n
Tier 1 (measured YS) / SISSO,-5.083696043956341,300.3114861500049,142.03056122272085,49.958067822727564,54
Tier 1 (measured YS) / SISSO Robust,-0.7263134914440257,159.97349081097855,107.68647644643018,-61.269001185273446,54
Tier 1 (measured YS) / M3,-0.5078756580668782,149.51024549381395,107.66910740860688,-76.57741639391115,54
Tier 2 (HP-derived) / SISSO,0.2962493608389568,72.31198820387581,62.913290987387064,62.913290987387064,3
Tier 2 (HP-derived) / SISSO Robust,0.8492825813478623,33.464367816307,30.853959343835584,1.0328021679148567,3
Tier 2 (HP-derived) / M3,0.6770625130094468,48.9846638472268,39.756944614162705,12.942062797504851,3
Tier 3 (HV-converted) / SISSO,-128.3588718268616,620.3643531653238,408.6195783783638,357.0602700961662,25
Tier 3 (HV-converted) / SISSO Robust,-9.641992406030166,177.93451442284206,137.102605725799,26.31498367600516,25
Tier 3 (HV-converted) / M3,-2.1574766897364133,96.92120425905745,80.75200444522504,-45.39205382578423,25
Aggregate / SISSO,-14.813144386785355,420.6134128024631,220.4131663225388,144.0607596072391,82
Aggregate / SISSO Robust,-1.372796185799289,162.9311854020295,113.8438627961428,-32.28723250732796,82
Aggregate / M3,-0.5795836295592005,132.9368278894718,96.97808225655957,-63.794581006381634,82
