Alloy,k_HP_MPa_um_half,d_min_um,d_max_um,test_mode,Citation,Provenance
CoCrNi,265,0.29,111.0,tension,Yoshida2017,primary
CoCrFeNi,276,0.55,32.2,tension,Yoshida2019acta,primary
CoCrFeMnNi,494,4.4,155.0,tension,Otto2013,primary
CoCrFeNi,506,25.0,110.0,tension,LiKHP2024,primary
CoCrFeNi,684,23.0,150.0,tension,Jagetia2021,primary
"This work, Family 3 M3",766,14.7,212.0,tension,this_work,fitted
CoCrFeNi,855,2.5,59.0,tension,WuGaoBei2016,compiled
CrFeNi,966,10.0,327.0,compression,SchneiderCrFeNi2021,primary
Al0.3CoCrFeNi,1014,29.0,199.0,tension,Jagetia2021,primary
Co0.95Cr0.8Fe0.25Ni1.8Mo0.475,1100,25.0,110.0,tension,LiKHP2024,primary
Al0.3CoFeNi,1244,38.0,179.0,tension,Jagetia2021,primary
